Q1,Q2,Q3,Q4,Q5,Q6,Q46,Q47,Q48,Q49,Q50,Q112,Q164,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233,Gender,Age,Marital,Employment,Class,Ethnic,Urban_Rural
1,1,1,3,1,1,2,3,6,6,6,6,7,3,3,2,2,3,3,2,2,3,3,2,34,1,5,3,458004,2
1,1,1,3,1,1,2,3,7,7,7,7,7,2,2,2,3,3,3,2,2,2,3,2,56,1,3,2,458012,2
1,1,1,3,1,1,2,2,8,9,7,8,8,2,2,2,4,1,2,2,2,2,2,2,41,1,1,3,458004,2
1,1,2,2,1,1,1,2,6,5,5,6,5,1,2,2,3,3,3,3,3,2,2,1,22,6,1,3,458004,2
1,1,1,3,1,1,2,2,8,8,10,10,10,4,1,1,1,1,4,1,1,4,2,1,32,2,1,5,458004,2
1,1,1,1,1,1,1,1,10,9,9,5,5,2,2,2,3,2,3,3,3,3,3,2,34,1,5,3,458012,2
1,2,2,4,3,2,2,2,8,8,6,10,10,4,2,2,2,3,3,2,2,2,3,2,38,1,5,4,458014,2
2,3,3,3,2,3,2,2,9,8,8,9,10,3,2,2,2,3,3,2,3,2,2,2,25,1,1,3,458004,2
1,1,1,4,3,2,2,2,8,7,7,6,8,3,3,3,3,3,3,3,3,3,3,1,19,6,6,4,458004,2
1,1,2,2,1,1,2,2,8,8,8,6,10,2,4,3,2,2,2,3,4,1,1,1,58,1,4,3,458004,2
1,1,1,1,1,1,2,2,5,7,8,4,10,1,4,4,4,1,1,4,4,1,1,1,43,1,1,4,458004,2
1,1,1,1,1,1,1,1,10,10,8,7,10,2,3,3,3,2,2,3,3,1,1,1,27,6,1,4,458014,2
1,3,2,4,2,2,2,3,5,6,8,9,8,3,2,2,2,3,3,2,3,2,2,2,52,1,5,3,458012,2
1,1,1,3,1,1,1,2,7,8,7,8,10,1,3,3,3,2,1,3,3,1,1,1,20,6,1,4,458004,2
1,1,1,1,2,2,2,1,6,7,7,5,6,1,1,2,4,4,4,4,4,4,4,1,31,1,1,3,458014,2
1,2,2,3,1,1,3,2,7,7,7,10,10,3,1,1,2,1,1,1,2,2,1,2,25,6,1,5,458004,2
1,1,1,2,1,1,1,1,7,6,5,5,6,2,2,2,3,3,3,3,2,2,3,1,65,1,1,3,458012,2
1,2,2,2,1,2,2,2,7,7,6,8,9,2,2,2,2,2,2,2,2,2,2,2,36,1,1,5,458004,2
1,1,1,2,1,1,1,1,10,10,10,8,8,2,2,2,2,2,2,2,2,2,2,2,53,1,1,5,458012,2
1,1,1,1,1,1,2,2,7,6,5,6,8,2,3,3,3,3,4,3,3,4,4,1,25,6,1,3,458004,2
1,1,2,3,1,2,3,1,9,8,8,10,10,4,1,1,1,1,1,1,1,1,4,1,26,6,3,5,458004,2
1,1,3,3,1,1,2,2,6,7,7,7,8,3,3,3,4,4,4,4,4,4,4,2,48,1,1,3,458012,2
2,2,2,2,2,2,2,2,8,7,7,10,7,2,2,2,2,2,2,2,2,2,2,1,55,1,1,2,458004,2
1,1,2,1,1,1,2,2,8,8,8,10,10,2,2,2,2,2,2,2,2,2,2,2,43,1,1,5,458014,2
1,2,2,2,1,1,3,2,9,6,5,10,10,4,2,2,2,2,2,2,2,2,2,2,51,1,5,5,458004,2
1,1,2,3,1,3,2,2,6,7,7,10,10,3,3,3,3,3,3,3,3,3,3,1,33,6,1,3,458012,2
1,1,1,1,1,1,2,2,8,7,7,6,5,1,1,2,4,4,4,4,4,4,4,2,53,1,3,1,458012,2
1,2,2,1,1,1,3,1,6,8,6,9,9,4,1,1,1,3,4,3,4,4,2,1,24,6,1,3,458012,2
1,2,3,3,2,1,2,2,7,7,7,9,4,3,3,2,2,2,4,4,2,4,2,1,18,6,1,3,458012,2
1,2,2,3,2,2,2,2,8,8,7,8,6,3,2,2,2,2,3,3,4,1,2,1,19,6,1,3,458012,2
1,2,3,2,1,1,2,2,7,8,8,8,8,4,2,2,2,3,3,3,4,2,2,1,19,6,1,2,458012,2
1,1,2,4,2,1,2,2,8,8,8,8,8,4,2,2,1,3,3,2,4,1,2,2,19,6,1,2,458012,2
1,3,2,3,2,1,2,2,8,7,8,8,10,3,2,1,3,3,2,4,4,4,2,2,59,1,3,3,458004,2
1,2,2,2,1,1,1,2,7,8,8,5,6,1,1,1,1,1,1,1,1,1,1,2,39,1,1,3,458004,2
1,1,1,3,1,1,1,1,8,8,7,5,9,1,1,2,1,1,1,1,1,1,1,1,36,1,1,2,458004,2
1,1,2,1,1,1,1,2,8,7,8,7,7,1,1,1,2,2,1,2,1,1,2,2,23,1,1,3,458004,2
1,2,4,4,2,1,1,2,8,8,8,3,8,3,1,1,3,2,3,4,3,1,3,2,58,5,3,5,458004,2
1,3,3,4,2,1,2,2,8,8,8,3,8,3,2,1,2,3,2,4,2,1,2,2,51,4,1,5,458004,2
1,1,2,4,2,1,1,2,8,8,8,9,10,1,3,1,4,2,1,4,4,1,2,2,52,1,5,5,458004,2
1,2,1,3,1,1,1,2,7,7,5,10,10,2,2,1,1,3,2,2,4,3,2,2,57,1,1,4,458012,2
1,2,2,3,2,1,1,1,8,8,8,8,9,3,3,2,3,2,3,2,3,2,2,2,23,1,1,3,458004,2
1,1,1,2,1,1,2,2,8,8,8,8,9,3,2,1,2,3,2,2,2,2,2,1,48,1,4,3,458004,2
1,1,1,3,2,1,1,1,10,10,10,10,10,2,3,2,2,3,2,3,4,2,2,1,42,1,1,3,458004,2
1,1,1,3,1,1,1,1,9,9,9,8,9,2,3,2,3,2,1,4,4,1,2,1,47,1,1,3,458004,2
2,3,3,4,1,1,1,1,6,10,5,10,10,1,2,2,4,1,1,4,4,2,2,1,57,1,3,5,458004,2
1,1,1,2,1,1,1,1,5,8,8,10,10,1,2,3,3,2,1,2,4,2,2,2,50,1,1,5,458004,2
1,1,1,2,1,1,1,1,4,10,10,8,10,1,2,2,3,2,2,4,2,2,2,1,58,1,1,5,458004,2
1,1,2,2,1,1,1,1,10,10,10,1,10,3,3,3,3,3,3,3,3,3,3,2,25,6,1,5,458004,2
1,1,3,2,1,1,2,1,10,10,6,8,10,2,2,3,3,2,2,4,4,4,4,2,25,6,1,5,458004,2
1,1,2,2,1,1,1,1,3,7,8,10,10,3,3,3,3,3,3,3,3,3,3,1,49,1,1,3,458004,2
